AphiaID,rank,scientificname
890616,Species,Rubramoena amoena
1033423,Species,Lamispina falcata
1059647,Species,Centraloecetes neapolitanus
103827,Species,Halocynthia papillosa
107469,Species,Nepinnotheres pinnotheres
111265,Species,Buskea dichotoma
130485,Species,Armandia cirrhosa
148604,Species,Apocorophium acutum
152358,Species,Pomatoceros lamarcki
167614,Species,Clathria (Microciona) armata
182727,Species,Halecium plumosum
333036,Species,Aricidea (Acmira) lopezi
333199,Species,Ceratonereis (Composetia) costae
388224,Species,Sarsinebalia urgorrii
101957,Species,Haploops tenuis
102280,Species,Gammarus insensibilis
107268,Species,Calappa granulata
107475,Species,Alpheus dentipes
110515,Species,Hemilamprops uniplicatus
117434,Species,Merona cornucopiae
131098,Species,Sphaerodoropsis philippi
131156,Species,Prionospio ehlersi
136080,Species,Phascolosoma (Phascolosoma) granulatum
140046,Species,Trapania pallida
142855,Species,Stylochus tauricus
181377,Species,Chtenopteryx sicula
471226,Species,Exidmonea atlantica
101007,Species,Arachnanthus sarsi
102764,Species,Tryphosella nanoides
107316,Species,Dorhynchus thomsoni
118250,Family,Desmosomatidae
123448,Genus,Labidoplax
125420,Species,Maasella edwardsii
130719,Species,Acanthicolepis asperrima
131751,Genus,Ircinia
138307,Genus,Simnia
140092,Species,Hermaea bifida
140123,Species,Hydrobia acuta
152292,Suborder,Terebelliformia
153575,Suborder,Flustrina
333453,Species,Exogone dispar
608083,Species,Spiophanes afer
102024,Species,Autonoe spiniventris
103118,Species,Metopa borealis
103543,Genus,Styela
106207,Species,Chirona hameri
111748,Species,Stomatoporina incurvata
118559,Species,Eugerda tenuimana
131496,Species,Laphania boecki
135217,Species,Sphenotrochus (Sphenotrochus) andrewianus
137438,Species,Lumbricillus lineatus
137886,Genus,Dentalium
138127,Genus,Limatula
138797,Species,Bathyarca glacialis
140294,Species,Lutraria angustior
237848,Species,Coracuta obliquata
393741,Subspecies,Mimachlamys varia nivea
491656,Species,Jordaniella nivosa
1059478,Species,Juxtacribrilina annulata
1544114,Species,Clavodorum kristiani
100894,Species,Edwardsia tuberculata
107236,Species,Pagurus excavatus
111040,Genus,Plagioecia
117365,Species,Campanularia volubilis
118510,Species,Paranthura nigropunctata
129764,Species,Vanadis crystallina
138343,Genus,Pholas
140211,Species,Leptochiton scabridus
141440,Species,Ervilia castanea
146525,Family,Atylidae
147143,Genus,Sarsinebalia
150883,Genus,Polypedilum
1061754,Species,Portunus pelagicus
895,Order,Eunicida
103116,Species,Metopa alderi
107125,Species,Sergestes arcticus
107164,Species,Munida speciosa
107399,Species,Polybius henslowii
107665,Species,Stylopandalus richardi
118146,Species,Clunio marinus
122549,Species,Micrura baltica
123561,Genus,Ophiocten
130080,Species,Euphrosine armadillo
130251,Species,Lumbrineris nonatoi
133133,Species,Hymeraphia stellifera
134167,Species,Paratimea constellata
136229,Genus,Leptognathia
139453,Species,Cuspidaria rostrata
141999,Species,Yoldiella intermedia
157381,Species,Euphrosine cirrata
181270,Species,Yoldiella biscayensis
196375,Species,Antalis dentalis
1607,Family,Campanulinidae
101704,Genus,Synchelidium
102096,Species,Corophium multisetosum
106987,Genus,Hippolyte
107312,Species,Acanthonyx lunulatus
117881,Species,Diphasia nigra
125348,Species,Acanthogorgia armata
129529,Genus,Fabricia
130561,Species,Aricidea hartmani
131367,Species,Procerastea halleziana
131673,Family,Polymastiidae
139454,Species,Cuspidaria subtorta
141639,Species,Tenellia adspersa
238194,Species,Myrianida edwarsi
714762,Species,Ariadnaria borealis
14355,Order,Stomatopoda
101956,Species,Haploops similis
103049,Species,Laetmatophilus tuberculatus
103504,Genus,Perophora
123280,Genus,Anseropoda
130224,Species,Augeneria algida
131119,Species,Dipolydora giardi
131459,Species,Syllis vittata
138040,Genus,Goniodoris
138648,Genus,Venus
138686,Species,Aclis walleri
139379,Species,Raphitoma purpurea
140252,Species,Limopsis aurita
140585,Species,Nucula atacellana
153024,Superfamily,Anomioidea
766122,Family,Cephalotrichidae
1781,Family,Semelidae
1788,Family,Cuspidariidae
101675,Genus,Maera
129588,Genus,Fimbriosthenelais
130905,Species,Euchone elegans
131503,Species,Neoamphitrite edwardsii
135159,Species,Desmophyllum dianthus
141944,Species,Vermetus triquetrus
152817,Species,Pandora albida
224401,Species,Megastomia conoidea
237819,Species,Abraliopsis morisii
530926,Species,Parasabella langerhansi
731048,Superfamily,Plumularioidea
14638,Superfamily,Veneroidea
100910,Species,Scolanthus callimorphus
101620,Genus,Lysianassa
106700,Superfamily,Majoidea
107395,Species,Liocarcinus zariquieyi
107548,Species,Aegaeon cataphractus
110466,Species,Cumopsis longipes
111229,Species,Caberea boryi
117539,Species,Eudendrium annulatum
117610,Species,Hydranthea margarica
118714,Species,Ianiropsis breviremis
132356,Species,Ircinia oros
135275,Genus,Haliclystus
140747,Species,Philine catena
156142,Species,Iphinoe maeotica
593521,Species,Pleurocrypta porcellanaelongicornis
1365,Order,Alcyonacea
102022,Species,Autonoe megacheir
103567,Species,Didemnum fulgens
103667,Species,Aplidium tabarquensis
107348,Species,Maja crispata
110797,Family,Penetrantiidae
111190,Species,Amphiblestrum solidum
111323,Species,Puellina bifida
118263,Family,Munnidae
130279,Species,Clymenella torquata
131186,Species,Spio multioculata
131414,Species,Syllis amica
131738,Genus,Aplysilla
134112,Species,Chondrosia reniformis
138804,Species,Armina loveni
140484,Species,Rhomboidella prideauxi
140525,Species,Cryptonatica affinis
141335,Species,Pusillina lineolata
141820,Species,Margarites groenlandicus
146474,Species,Acholoe squamosa
147068,Genus,Ougia
153717,Species,Alcyonidium polyoum
157496,Species,Neanthes acuminata
182733,Species,Doto maculata
183395,Species,Samythella elongata
329073,Species,Myriochele olgae
156,Family,Retusidae
957,Family,Sphaerodoridae
111578,Species,Tessaradoma boreale
117903,Species,Sertularella mediterranea
131360,Species,Plakosyllis brevipes
134191,Species,Polymastia agglutinans
136319,Species,Pseudosphyrapus anomalus
138843,Species,Barleeia unifasciata
140274,Species,Lomanotus marmoratus
140849,Species,Chevroderma turnerae
141815,Species,Jujubinus striatus
142963,Species,Fecampia erythrocephala
154917,Subfamily,Sabellinae
183258,Species,Malletia johnsoni
562098,Species,Hathrometra tenella
852322,Superfamily,Spatangoidea
880865,Species,Chondrochelia dubia
1036929,Species,Zelentia pustulata
100751,Genus,Adamsia
101917,Species,Ampelisca pseudospinimana
103438,Family,Clavelinidae
103522,Genus,Microcosmus
103642,Species,Aplidium densum
106205,Species,Acasta spongites
106715,Superfamily,Palaemonoidea
119001,Species,Paragnathia formica
122619,Species,Carinina heterosoma
129961,Species,Cirratulus incertus
130314,Species,Nicomache personata
131365,Species,Proceraea picta
137722,Genus,Crepidula
138059,Genus,Hedylopsis
139196,Species,Columbella rustica
139352,Species,Pleurotomella packardii
140111,Species,Histioteuthis bonnellii
141879,Species,Umbraculum umbraculum
182808,Species,Palio nothus
236688,Species,Saccella commutata
367570,Species,Propebela rufa
597722,Species,Prosphaerosyllis chauseyensis
849065,Species,Bosemprella incarnata
102008,Species,Pleonexes gammaroides
102474,Species,Idunella aeqvicornis
107198,Species,Dardanus calidus
107213,Species,Anapagurus bicorniger
110449,Species,Eocuma dollfusi
111380,Species,Haplopoma impressum
117260,Species,Acaulis primarius
118757,Species,Munna kroyeri
123904,Species,Plutonaster bifrons
129831,Species,Hermodice carunculata
131422,Species,Syllis columbretensis
131642,Family,Raspailiidae
132069,Genus,Pseudosuberites
132804,Species,Haliclona gracilis
134215,Species,Quasillina brevis
137209,Species,Dermochelys coriacea
139643,Species,Doto hystrix
140186,Species,Iothia fulva
141840,Species,Solariella obscura
150237,Species,Suberites pagurorum
160446,Species,Propebela turricula
225169,Species,Pedicularia sicula
234163,Species,Axinulus brevis
236539,Species,Deflexilodes gibbosus
528827,Species,Chiridota aponocrita
960,Family,Amphinomidae
111067,Species,Aetea truncata
116998,Genus,Aequorea
117561,Species,Euphysa aurata
118280,Family,Arcturidae
123878,Species,Astropecten spinulosus
125389,Species,Paramuricea macrospina
128536,Species,Veretillum cynomorium
129285,Genus,Euphrosine
129483,Genus,Bylgides
129600,Genus,Sphaerodoridium
130992,Species,Filogranula gracilis
133205,Species,Biemna variantia
133445,Species,Crambe crambe
138341,Genus,Barnea
139072,Species,Cerithiella metula
139229,Species,Comarmondia gracilis
140188,Species,Propilidium exiguum
140243,Species,Limatula subovata
140843,Species,Poromya granulata
236678,Species,Pettibonesia furcosetosa
329889,Species,Owenia polaris
334695,Species,Rhamphobrachium (Spinigerium) brevibrachiatum
565371,Species,Conomurex persicus
881461,Species,Anodonta anatina
884604,Species,Cylichnoides occultus
1566,Family,Nymphonidae
100783,Genus,Pachycerianthus
101582,Genus,Liljeborgia
101633,Genus,Orchomene
101912,Species,Ampelisca odontoplax
103894,Species,Pelonaia corrugata
107656,Species,Plesionika edwardsii
110363,Species,Bonellia viridis
110470,Species,Brachydiastylis resima
111723,Species,Hornera lichenoides
118623,Species,Eurycope producta
124440,Species,Acanthotrochus mirabilis
125056,Species,Amphilepis ingolfiana
125269,Family,Alcyoniidae
129611,Genus,Dipolydora
130274,Species,Magelona wilsoni
130320,Species,Petaloproctus tenuis
130460,Species,Diopatra neapolitana
132454,Species,Agelas oroides
136253,Genus,Tanais
137970,Genus,Eulima
141675,Species,Thyasira subovata
152389,Species,Hauchiella tribullata
166637,Species,Haliclona (Rhizoniera) rosea
238129,Species,Stereoderma kirchsbergii
247605,Species,Tanaissus danica
345287,Species,Kurtiella tumidula
547398,Species,Aglaophamus pulcher
1318022,Species,Kirkegaardia serrata
101023,Species,Epizoanthus arenaceus
102013,Species,Aora spinicornis
103903,Species,Polycarpa gracilis
106670,Suborder,Pleocyemata
110559,Species,Campylaspis undata
111652,Species,Farrella repens
118399,Genus,Cirolana
122798,Species,Tetrastemma robertianae
124854,Species,Ophiocten hastatum
129272,Genus,Protodorvillea
130470,Species,Onuphis eremita
130702,Species,Sigambra parva
131018,Species,Josephella marenzelleri
132335,Species,Spongionella pulchella
137572,Species,Tubificoides brownae
139772,Species,Eubranchus vittatus
139849,Species,Melanella lubrica
140010,Species,Cadulus subfusiformis
140059,Species,Haliotis tuberculata
140583,Species,Ennucula corticata
146493,Genus,Anilocra
155424,Subfamily,Phyllodocinae
180908,Species,Lepetodrilus atlanticus
236746,Family,Dulichiidae
754208,Species,Idunella mollis
104065,Species,Megathiris detruncata
107708,Species,Scyllarides latus
108343,Subspecies,Processa modica modica
111569,Species,Smittoidea marmorea
129289,Genus,Brada
129853,Species,Arabella geniculata
130229,Species,Lumbrinerides amoureuxi
132200,Species,Leuconia johnstoni
133526,Species,Desmacidon fruticosum
135093,Genus,Desmophyllum
140306,Species,Katadesmia cuneata
140442,Species,Dacrydium abyssorum
140818,Species,Pleurobranchaea meckeli
152248,Genus,Psamathe
170786,Species,Protosuberites epiphytum
181824,Species,Bathycuma brevirostre
334211,Species,Nicomache (Loxochona) quadrispinata
734529,Species,Aricidea (Strelzovia) quadrilobata
852968,Species,Erythrops erythrophthalmus
882444,Species,Dialychone longiseta
1305582,Species,Paucibranchia fallax
217,Order,Venerida
14633,Superfamily,Cardioidea
102579,Species,Hippomedon propinqvus
102725,Species,Socarnes filicornis
102926,Species,Synchelidium intermedium
103119,Species,Metopa bruzelii
110345,Suborder,Echiurida
118225,Species,Pleurocrypta galateae
118751,Species,Munna acanthifera
119921,Species,Eucopia unguiculata
125071,Species,Amphiura borealis
125332,Species,Alcyonium coralloides
129383,Genus,Rullierinereis
130250,Species,Lumbrineris mixochaeta
130319,Species,Petaloproctus borealis
130497,Species,Ophelia roscoffensis
131470,Species,Xenosyllis scabra
135138,Species,Caryophyllia (Caryophyllia) cyathus
138969,Species,Admete viridula
139006,Species,Laevicardium oblongum
140604,Species,Octopus salutii
141546,Species,Solen marginatus
152228,Subfamily,Exogoninae
240889,Species,Aegaeon cataphracta
459311,Species,Nebalia reboredae
533646,Subspecies,Ledella pustulosa pustulosa
836053,Species,Scyramathia carpenteri
889591,Species,Diaphorodoris alba
103488,Genus,Ciona
107336,Species,Lissa chiragra
107421,Species,Pilumnus villosissimus
107549,Species,Aegaeon lacazei
110581,Species,Procampylaspis armata
111508,Species,Hemicyclopora polita
123593,Genus,Ophiocomina
129344,Genus,Clymenella
137574,Species,Tubificoides diazi
139490,Species,Scaphander punctostriatus
139602,Species,Donax trunculus
140893,Species,Pulsellum lofotense
142827,Species,Leptoplana tremellaris
158351,Species,Atlantopandalus propinqvus
170789,Species,Protosuberites incrustans
177726,Species,Siphonenteron bilineatum
327423,Species,Chaetozone jubata
332670,Species,Chaetozone corona
394429,Species,Pecten jacobaeus
1048787,Species,Carronella pellucida
1609,Family,Lafoeidae
101586,Genus,Acidostoma
102038,Species,Leptocheirus mariae
106791,Family,Processidae
110723,Order,Ctenostomatida
111045,Genus,Lichenopora
117185,Genus,Neoturris
119930,Species,Gnathophausia zoea
122379,Genus,Cephalothrix
130774,Species,Harmothoe longisetis
131134,Species,Malacoceros vulgaris
132252,Species,Sycon elegans
134632,Species,Paranymphon spinosum
139255,Species,Gymnobela subaraneosa
140854,Species,Spathoderma clenchi
141627,Species,Cuthona nana
142835,Species,Discocelides langi
148558,Family,Photidae
152365,Genus,Lagis
155046,Species,Antinoe finmarchica
168605,Species,Mycale (Carmia) subclavata
231858,Species,Anemonia sulcata
327285,Species,Branchipolynoe seepensis
428401,Species,Conus ventricosus
862791,Species,Schizomavella (Schizomavella) hastata
106922,Genus,Carcinus
107642,Species,Chlorotocus crassicornis
110510,Species,Hemilamprops assimilis
111432,Species,Steraechmella buski
118506,Species,Leptanthura tenuis
118676,Species,Ilyarachna hirticeps
119038,Species,Cleantis prismatica
120037,Species,Heteromysis (Heteromysis) microps
129278,Genus,Eunice
130072,Species,Marphysa bellii
131048,Species,Serpula concharum
131140,Species,Paraprionospio pinnata
131493,Species,Lanassa nordenskioldi
133620,Species,Hymedesmia (Hymedesmia) pansa
137358,Genus,Paranais
137885,Genus,Dendronotus
139052,Species,Bittium latreillii
140075,Species,Haminoea navicula
140231,Species,Limapontia senestra
140625,Species,Todaropsis eblanae
141864,Species,Haedropleura septangularis
141874,Species,Turritella turbona
150884,Genus,Glyptotendipes
167885,Species,Antho (Antho) inconstans
168640,Species,Mycale (Mycale) lingua
181299,Species,Similipecten greenlandicus
238248,Species,Streptosyllis campoyi
238648,Species,Syllis krohnii
252278,Species,Botrylloides diegensis
334946,Species,Tomopteris (Johnstonella) helgolandica
607414,Species,Pronucula tenuis
798770,Family,Tanaididae
101498,Genus,Dexamine
101554,Genus,Iphimedia
101853,Species,Caprella tuberculata
102607,Species,Lysianassa insperata
102980,Species,Leptophoxus falcatus
103188,Species,Syrrhoe crenulata
104054,Species,Hemithiris psittacea
107114,Species,Sicyonia carinata
107468,Species,Asthenognathus atlanticus
107560,Species,Philocheras monacanthus
111522,Species,Schizobrachiella sanguinea
111525,Species,Schizoporella dunkeri
123441,Genus,Myriotrochus
124135,Species,Hymenaster pellucidus
124792,Species,Cherbonniera utriculus
125287,Genus,Sarcodictyon
129471,Genus,Poecilochaetus
129601,Genus,Sphaerodoropsis
129648,Genus,Brania
130214,Species,Lopadorrhynchus uncinatus
134805,Species,Sacculina carcini
136051,Species,Nephasoma (Nephasoma) abyssorum
136077,Species,Apionsoma (Apionsoma) murinae
137607,Species,Glossobalanus marginatus
140477,Species,Mytilaster marioni
141148,Species,Rissoella globularis
142028,Order,Tricladida
146899,Class,Nemertea incertae sedis
148713,Genus,Morchellium
151626,Genus,Peringia
171358,Species,Craniella zetlandica
181033,Species,Trophonopsis breviata
181040,Species,Pagodula echinata
428694,Species,Ledella ultima
431071,Species,Pseudolirius kroyeri
506263,Species,Neilonella whoii
510499,Infraclass,Irregularia
525486,Species,Aricidea (Acmira) assimilis
834720,Species,Halitholus yoldiaearcticae
1038999,Species,Spirosperma ferox
889,Order,Spionida
100750,Genus,Actinauge
102975,Species,Harpinia serrata
106909,Genus,Maja
107684,Species,Processa elegantula
110378,Family,Bodotriidae
117196,Genus,Plumularia
122305,Order,Heteronemertea
122543,Species,Lineus viridis
123908,Species,Psilaster andromeda
124347,Species,Sperosoma grimaldii
124423,Species,Genocidaris maculata
125380,Species,Bebryce mollis
129156,Genus,Amphicteis
129432,Genus,Levinsenia
131479,Species,Amphitrite variabilis
135168,Species,Solenosmilia variabilis
138673,Genus,Yoldiella
140035,Species,Okenia aspersa
140187,Species,Lepeta caeca
140429,Species,Urosalpinx cinerea
140771,Species,Zirfaea crispata
141647,Species,Thracia distorta
141989,Species,Yoldia hyperborea
142838,Species,Cryptocelides loveni
146418,Order,Archiannelida
146968,Genus,Hediste
152223,Subfamily,Syllinae
156196,Species,Leptaxinus incrassatus
196374,Species,Antalis agilis
264177,Species,Jaera (Jaera) ischiosetosa
332927,Species,Ampharete borealis
1262334,Species,Pleonexes helleri
100668,Family,Halcampoididae
100857,Species,Aiptasia couchii
100912,Species,Gonactinia prolifera
101705,Genus,Westwoodilla
101897,Species,Ampelisca eschrichtii
102325,Species,Hyale pontica
102805,Species,Elasmopus rapax
107326,Species,Inachus communissimus
107451,Species,Eriocheir sinensis
124672,Species,Thyone inermis
125048,Species,Ophiopsila annulosa
130969,Species,Sabella spallanzanii
131432,Species,Syllis gerlachi
132487,Species,Axinella polypoides
135135,Species,Caryophyllia (Caryophyllia) ambrosia
139388,Species,Theta chariessa
169497,Species,Myxilla (Styloptilon) ancorata
181271,Species,Yoldiella curta
183339,Species,Pelagodiscus atlanticus
247599,Species,Paratyphlotanais microcheles
411720,Family,Seraphsidae
457698,Species,Yoldiella thaerella
578334,Species,Harmothoe mariannae
607950,Subclass,Heteroscleromorpha
730684,Species,Amphisamytha lutzi
893251,Species,Cuthonella concinna
1296689,Species,Pseudotanais jonesi
1564,Family,Callipallenidae
101940,Species,Byblis crassicornis
103601,Species,Cystodytes dellechiajei
106941,Genus,Pilumnus
107513,Species,Hippolyte leptocerus
110415,Genus,Campylaspis
110834,Genus,Palmiskenea
111256,Species,Tricellaria ternata
111514,Species,Escharina alderi
117383,Species,Laomedea neglecta
122492,Species,Leucocephalonemertes aurantiaca
123281,Genus,Asterina
123587,Genus,Ophiacantha
125144,Species,Ophiomyxa pentagona
125331,Species,Alcyonium acaule
131655,Family,Hymedesmiidae
131658,Family,Myxillidae
131677,Family,Tethyidae
132655,Species,Hymeniacidon kitchingi
138199,Genus,Nucella
139163,Species,Graphis albida
139633,Species,Doto cuspidata
141643,Species,Tethys fimbria
152220,Species,Donax variegatus
152393,Species,Protomystides bidentata
154073,Species,Mangelia costulata
333495,Species,Genetyllis tuberculata
416570,Species,Nannonyx goesii
416721,Subspecies,Ledella pustulosa marshalli
569394,Species,Ova canalifera
743630,Species,Murex tribulus
190,Family,Flabellinidae
1368,Suborder,Stolonifera
100975,Species,Kadosactis abyssicola
102162,Species,Apherusa chiereghinii
102295,Species,Gammarus subtypicus
103305,Genus,Leiopathes
103849,Species,Pyura dura
107231,Species,Pagurus anachoretus
107266,Species,Segonzacia mesatlantica
110504,Species,Leptostylis macrura
110545,Species,Campylaspis horrida
111276,Species,Celleporina pygmaea
111764,Species,Tubulipora phalangea
117471,Species,Coryne pusilla
118273,Family,Cirolanidae
118735,Species,Microjaera anisopoda
123291,Genus,Ceramaster
124735,Species,Peniagone diaphana
129802,Species,Melinna albicincta
129990,Species,Raricirrus beryli
130211,Species,Lopadorrhynchus brevis
130228,Species,Lumbrinerides acuta
130262,Species,Scoletoma funchalensis
131381,Species,Sphaerosyllis capensis
132761,Species,Chalinula limbata
132773,Species,Haliclona (Gellius) angulata
138090,Genus,Tonicella
138099,Genus,Lacuna
138739,Species,Aldisa zetlandica
139391,Species,Typhlomangelia nivalis
140005,Species,Cadulus jeffreysi
148683,Subspecies,Diastylis rathkei typica
150268,Species,Clathrina primordialis
236548,Species,Deshayesorchestia deshayesii
607395,Species,Lumbrineris luciliae
862785,Species,Schizomavella (Schizomavella) cornuta
174,Family,Goniodorididae
914,Family,Magelonidae
993,Family,Polygordiidae
101661,Genus,Tryphosella
102365,Species,Gammaropsis melanops
107221,Species,Anapagurus pusillus
110864,Genus,Caberea
119936,Species,Lophogaster typicus
123111,Order,Dendrochirotida
125410,Species,Paracalyptrophora josephinae
129524,Genus,Branchiomma
129900,Species,Notomastus profundus
130732,Species,Bylgides elegans
130931,Species,Myxicola aesthetica
134697,Species,Nymphon macronyx
137734,Genus,Cardium
138752,Species,Pododesmus squama
139018,Species,Glans trapezia
139644,Species,Doto koenneckeri
140953,Species,Eulimella scillae
141437,Species,Abra profundorum
153949,Species,Leucophytia bidentata
181587,Genus,Stictochironomus
182796,Species,Ledella pustulosa
236531,Species,Othomaera knudseni
477315,Species,Yoldiella valorousae
532032,Species,Gracilechinus alexandri
848021,Species,Ischnochiton rissoi
1778,Family,Limidae
11725,Family,Sepiolidae
101464,Genus,Aora
102463,Species,Leucothoe oboa
102465,Species,Leucothoe pachycera
103062,Species,Bathyporeia lindstromi
111520,Species,Escharina vulgaris
118244,Family,Anthuridae
118258,Family,Janiridae
118264,Family,Munnopsidae
118954,Species,Lekanesphaera levii
122490,Species,Cerebratulus ventrosulcatus
131340,Species,Parapionosyllis minuta
134106,Species,Thenea muricata
137351,Genus,Lumbricillus
137559,Species,Potamothrix bavaricus
138930,Species,Troschelia berniciensis
139896,Species,Vitreolina antiflexa
140417,Species,Stramonita haemastoma
140847,Species,Pristigloma nitens
141715,Species,Marshallora adversa
146732,Species,Boreotrophon clathratus
146846,Genus,Clymene
148715,Species,Botrylloides violaceus
157019,Species,Graneledone verrucosa
167882,Species,Antho (Antho) dichotoma
181526,Subspecies,Capitella capitata capitata
196160,Family,Thalassinidae
886195,Species,Calvadosia cruxmelitensis
1317575,Species,Cribrilaria arrecta
100688,Family,Epizoanthidae
102279,Species,Gammarus inaequicauda
107299,Species,Ebalia nux
110742,Family,Cribrilinidae
110966,Genus,Escharoides
111033,Genus,Crisidia
111362,Species,Carbasea carbasea
117029,Genus,Campanularia
122624,Species,Tubulanus albocapitatus
123338,Genus,Solaster
125371,Species,Acanella arbuscula
129488,Genus,Gattyana
130254,Species,Ninoe armoricana
130307,Species,Metasychis gotoi
131064,Species,Euthalenessa oculata
131177,Species,Scolelepis squamata
137829,Genus,Raphitoma
139222,Species,Benthomangelia antonia
139247,Species,Gymnobela engonia
140197,Species,Leptochiton alveolus
140965,Species,Liostomia clavula
175030,Species,Golfingia (Golfingia) muricaudata
181098,Species,Lurifax vitreus
564909,Species,Acanthephyra eximia
598842,Species,Trypanosyllis troll
882559,Species,Aricidea (Acmira) philbinae
1468915,Species,Saphobranchia longisetosa
59,Family,Leptochitonidae
202,Family,Dentaliidae
983,Family,Trichobranchidae
1794,Class,Stenolaemata
100757,Genus,Hormathia
102973,Species,Harpinia plumosa
103145,Species,Parametopa kervillei
103673,Species,Polyclinella azemai
103911,Species,Polycarpa pseudoalbatrossi
107709,Species,Scyllarus arctus
110384,Family,Pseudocumatidae
110478,Species,Diastylis glabra
110875,Genus,Celleporina
110880,Genus,Turbicellepora
111193,Species,Callopora craticula
116941,Genus,Piscicola
117039,Genus,Calycella
117970,Species,Modeeria rotunda
118917,Species,Limnoria lignorum
122768,Species,Tetrastemma coronatum
123915,Species,Ctenodiscus crispatus
130023,Species,Ophryotrocha gracilis
130954,Species,Potamilla neglecta
137577,Species,Tubificoides heterochaetus
139056,Species,Bittium submammillatum
139248,Species,Gymnobela frielei
141648,Species,Thracia myopsis
156202,Species,Leptosynapta cruenta
181273,Species,Yoldiella ella
410716,Subspecies,Aspidosiphon (Aspidosiphon) muelleri kovalevskii
506205,Species,Clencharia abyssorum
731113,Species,Brevicirrosyllis weismanni
733346,Species,Lepas (Lepas) anatifera
845528,Species,Knoutsodonta depressa
852864,Species,Parexogone longicirris
862804,Species,Schizomavella (Schizomavella) sarniensis
102270,Species,Gammarus aequicauda
107274,Species,Atelecyclus undecimdentatus
110489,Species,Diastylis scorpioides
110594,Species,Pterocuma pectinatum
117114,Genus,Halopteris
117197,Genus,Polyplumaria
117281,Species,Aglaophenia parvula
117458,Species,Plotocnide borealis
122599,Species,Cephalothrix rufifrons
123224,Genus,Marthasterias
123859,Species,Astropecten bispinosus
124726,Species,Elpidia glacialis
124752,Species,Benthogone rosea
129332,Genus,Augeneria
129361,Genus,Praxillura
130030,Subspecies,Ophryotrocha puerilis siberti
130495,Species,Ophelia neglecta
131061,Species,Vermiliopsis striaticeps
133701,Species,Spanioplon armaturum
133902,Species,Plocamiancora arndti
134666,Species,Colossendeis macerrima
138200,Genus,Ocenebra
140012,Species,Dischides politus
155472,Genus,Dialychone
180901,Species,Protolira valvatoides
181274,Species,Yoldiella fabula
195974,Genus,Prosphaerosyllis
236504,Species,Medicorophium rotundirostre
286375,Species,Paramuricea hirsuta
381904,Subspecies,Ciliatocardium ciliatum ciliatum
529394,Species,Myriotrochus (Oligotrochus) vitreus
733520,Species,Hesperibalanus fallax
882440,Species,Dialychone arenicola
101720,Genus,Metaphoxus
101915,Species,Ampelisca provincialis
101918,Species,Ampelisca pusilla
102097,Species,Corophium orientale
102480,Species,Liljeborgia dellavallei
107369,Species,Chaceon affinis
107563,Species,Pontophilus norvegicus
110560,Species,Campylaspis verrucosa
119931,Species,Neognathophausia gigas
125003,Species,Ophiacantha simulans
129324,Genus,Lacydonia
129450,Genus,Mystides
129986,Species,Cossura soyeri
131818,Genus,Spongosorites
132371,Species,Sarcotragus foetidus
134607,Species,Ammothea hilgendorfi
137601,Species,Saccoglossus mereschkowskii
137914,Genus,Doris
138323,Genus,Pecten
138681,Species,Aclis minor
138796,Species,Bathyarca frielei
139223,Species,Benthomangelia decapitata
165081,Species,Sarcotragus fasciculatus
181511,Subfamily,Thelepodinae
206190,Genus,Ptychodera
255165,Species,Lissodendoryx (Ectyodoryx) jenjonesae
488719,Species,Desmeplagioecia amphorae
101404,Family,Pleustidae
102954,Species,Pereionotus testudo
103131,Species,Metopa propinqua
103196,Species,Tiron spiniferus
103699,Species,Proagnesia depressa
107442,Species,Xantho poressa
107574,Species,Nematocarcinus exilis
110566,Species,Cumella (Cumella) limicola
110868,Genus,Tricellaria
110916,Genus,Securiflustra
111020,Genus,Triticella
117381,Species,Laomedea exigua
122651,Species,Amphiporus bioculatus
130171,Species,Microphthalmus fragilis
130758,Species,Harmothoe borealis
130988,Species,Ficopomatus enigmaticus
134672,Species,Endeis charybdaea
137416,Species,Grania postclitellochaeta
137477,Species,Amphichaeta sannio
138791,Species,Asperarca nodulosa
138853,Species,Belomitra quadruplex
139469,Species,Rhinoclama notabilis
140230,Species,Limapontia depressa
148436,Subfamily,Inachinae
156900,Genus,Bezzia
168526,Species,Mycale (Aegogropila) contarenii
196009,Species,Catillopecten eucymatus
226375,Species,Siriella clausii
236535,Species,Quadrimaera inaequipes
248051,Species,Nudisyllis pulligera
334688,Species,Pterocirrus limbatus
1059645,Species,Centraloecetes dellavallei
1476740,Species,Malletia pianii
111,Family,Fissurellidae
102974,Species,Harpinia propinqua
103050,Species,Paradulichia typica
103326,Species,Leiopathes glaberrima
103713,Species,Ascidia obliqua
107296,Species,Ebalia edwardsii
107303,Species,Ilia nucleus
107528,Species,Lysmata seticaudata
107712,Species,Scyllarus pygmaeus
110938,Genus,Membranipora
111173,Species,Dendrobeania fruticosa
117743,Species,Melicertum octocostatum
118669,Species,Echinozone coronata
118802,Species,Pleurogonium spinosissimum
119043,Species,Idotea emarginata
123484,Genus,Ocnus
124512,Species,Holothuria (Holothuria) mammata
124860,Species,Ophiocten sericeum
125200,Subspecies,Astropecten irregularis pentacanthus
125406,Species,Candidella imbricata
129216,Genus,Leiochrides
129456,Genus,Protomystides
129607,Genus,Atherospio
131104,Species,Spinther arcticus
139384,Species,Taranis moerchii
