AphiaID,rank,scientificname
334506,Species,Phyllodoce groenlandica
1130,Order,Decapoda
757970,Species,Parexogone hebes
100808,Species,Anemonia viridis
140590,Species,Nucula nucleus
1381415,Species,Turritellinella tricarinata
179538,Species,Nototropis vedlomensis
147123,Species,Potamopyrgus antipodarum
128549,Species,Phoronis muelleri
107350,Species,Maja squinado
130578,Species,Levinsenia gracilis
327985,Species,Exogone naidina
982,Family,Terebellidae
107277,Species,Corystes cassivelaunus
100706,Genus,Urticina
138999,Species,Cerastoderma glaucum
131516,Species,Pista cristata
141436,Species,Abra prismatica
103710,Species,Ascidia mentula
106257,Species,Verruca stroemia
140584,Species,Ennucula tenuis
111547,Species,Parasmittina trispinosa
140025,Species,Glycymeris glycymeris
534781,Species,Othomaera othonis
110472,Species,Diastylis bradyi
710680,Species,Oxydromus flexuosus
152448,Species,Amphictene auricoma
101,Class,Gastropoda
103718,Species,Ascidiella aspersa
130126,Species,Glycera oxycephala
111032,Genus,Crisia
110627,Species,Pseudocuma (Pseudocuma) longicorne
878470,Species,Macomangulus tenuis
111147,Species,Bicellariella ciliata
129211,Genus,Capitella
129446,Genus,Eumida
110535,Species,Eudorella truncatula
130195,Species,Podarkeopsis capensis
152217,Species,Chaetozone christiei
1292,Class,Anthozoa
123867,Species,Astropecten irregularis
131185,Species,Spio martinensis
106210,Species,Semibalanus balanoides
117388,Species,Obelia geniculata
919,Family,Cirratulidae
140403,Species,Nucella lapillus
111730,Species,Disporella hispida
123613,Genus,Amphiura
1477356,Species,Steromphala tumida
131143,Species,Polydora cornuta
106925,Genus,Liocarcinus
140264,Species,Littorina saxatilis
125166,Species,Porania (Porania) pulvillus
130363,Species,Nephtys kersivalensis
111351,Species,Conopeum reticulum
129346,Genus,Clymenura
131116,Species,Dipolydora caulleryi
231751,Species,Halecium halecinum
131106,Species,Aonides oxycephala
101537,Genus,Gammarus
130240,Species,Lumbrineris cingulata
140685,Species,Patella vulgata
140467,Species,Modiolus modiolus
152269,Species,Tharyx killariensis
131169,Species,Pseudopolydora pulchra
100803,Species,Actinia equina
130979,Species,Scalibregma celticum
125366,Species,Eunicella verrucosa
130294,Species,Euclymene oerstedii
111669,Species,Vesicularia spinosa
134194,Species,Polymastia boletiformis
923,Family,Maldanidae
107729,Species,Callianassa subterranea
130641,Species,Eumida bahusiensis
101742,Genus,Bathyporeia
101896,Species,Ampelisca diadema
234850,Species,Alitta succinea
130362,Species,Nephtys incisa
131135,Species,Marenzelleria viridis
106854,Genus,Pagurus
107281,Species,Thia scutellata
122637,Species,Tubulanus polymorphus
101864,Species,Phtisica marina
123970,Species,Henricia oculata
131141,Species,Polydora ciliata
103079,Species,Pontoporeia femorata
834039,Species,Crisularia plumosa
128539,Species,Virgularia mirabilis
152314,Species,Spio decorata
129619,Genus,Polydora
131153,Species,Prionospio cirrifera
141907,Species,Chamelea gallina
421139,Species,Amphibalanus improvisus
742232,Species,Lysidice unicornis
131072,Species,Sigalion mathildae
1135,Order,Amphipoda
1268,Order,Sipuncula
103732,Species,Ciona intestinalis
129789,Species,Anobothrus gracilis
131009,Species,Hydroides norvegica
214,Family,Anomiidae
175026,Species,Golfingia (Golfingia) elongata
110445,Species,Bodotria scorpioides
103226,Species,Urothoe brevicornis
130875,Species,Bispira volutacornis
130749,Species,Gattyana cirrhosa
130131,Species,Glycera unicornis
117195,Genus,Nemertesia
138549,Genus,Thracia
205077,Genus,Macropodia
117103,Genus,Halecium
745846,Species,Polititapes rhomboides
128517,Species,Pennatula phosphorea
140431,Species,Mya truncata
129840,Species,Aphrodita aculeata
110829,Genus,Schizomavella
730747,Species,Aricidea (Aricidea) minuta
138474,Genus,Abra
111304,Species,Chorizopora brongniartii
107239,Species,Pagurus prideaux
100880,Species,Edwardsia claparedii
101445,Genus,Ampelisca
122348,Genus,Cerebratulus
107739,Species,Upogebia deltaura
130500,Species,Ophelina acuminata
130067,Species,Eunice vittata
107393,Species,Liocarcinus pusillus
152249,Species,Psamathe fusca
129776,Species,Ampharete baltica
131100,Species,Sphaerodorum gracilis
131415,Species,Syllis armillaris
130356,Species,Nephtys ciliata
101669,Genus,Cheirocratus
131543,Species,Thelepus cincinnatus
131074,Species,Sthenelais boa
124501,Species,Holothuria (Panningothuria) forskali
102036,Species,Leptocheirus hirsutimanus
130649,Species,Hesionura elongata
140432,Species,Sphenia binghami
129837,Species,Paramphinome jeffreysii
124465,Species,Leptosynapta inhaerens
104906,Species,Branchiostoma lanceolatum
146469,Species,Abyssoninoe hibernica
22496,Family,Nereididae
1762,Order,Nudibranchia
129914,Species,Chaetopterus variopedatus
879714,Species,Asbjornsenia pygmaea
102928,Species,Synchelidium maculatum
140129,Species,Hyala vitrea
129443,Genus,Eteone
106905,Genus,Inachus
133150,Species,Raspailia (Raspailia) ramosa
102383,Species,Photis longicaudata
140301,Species,Spisula solida
129625,Genus,Spio
236130,Species,Acrocnida brachiata
1606,Family,Campanulariidae
141912,Species,Dosinia lupinus
102057,Species,Unciola crenatipalma
138159,Genus,Spisula
129379,Genus,Nereis
111250,Species,Scrupocellaria scruposa
111421,Species,Microporella ciliata
102460,Species,Leucothoe incisa
334514,Species,Phyllodoce rosea
130707,Species,Pisione remota
140283,Species,Lucinoma borealis
102788,Species,Abludomelita obtusata
136060,Species,Nephasoma (Nephasoma) minutum
102048,Species,Microdeutopus gryllotalpa
1297885,Species,Paucibranchia bellii
102783,Species,Megaluropus agilis
103662,Species,Aplidium punctum
211,Family,Mytilidae
213,Family,Pectinidae
131531,Species,Polycirrus medusa
130364,Species,Nephtys longosetosa
129472,Genus,Polygordius
